run,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,diagnosis
1,5.1,3.5,1.4,0.2,ASD
2,4.9,3,1.4,0.2,ASD
3,4.7,3.2,1.3,0.2,ASD
4,4.6,3.1,1.5,0.2,ASD
5,5,3.6,1.4,0.2,ASD
6,5.4,3.9,1.7,0.4,ASD
7,4.6,3.4,1.4,0.3,ASD
8,5,3.4,1.5,0.2,ASD
9,4.4,2.9,1.4,0.2,ASD
10,4.9,3.1,1.5,0.1,ASD
11,5.4,3.7,1.5,0.2,ASD
12,4.8,3.4,1.6,0.2,ASD
13,4.8,3,1.4,0.1,ASD
14,4.3,3,1.1,0.1,ASD
15,5.8,4,1.2,0.2,ASD
16,5.7,4.4,1.5,0.4,ASD
17,5.4,3.9,1.3,0.4,ASD
18,5.1,3.5,1.4,0.3,ASD
19,5.7,3.8,1.7,0.3,ASD
20,5.1,3.8,1.5,0.3,ASD
21,5.4,3.4,1.7,0.2,ASD
22,5.1,3.7,1.5,0.4,ASD
23,4.6,3.6,1,0.2,ASD
24,5.1,3.3,1.7,0.5,ASD
25,4.8,3.4,1.9,0.2,ASD
26,5,3,1.6,0.2,ASD
27,5,3.4,1.6,0.4,ASD
28,5.2,3.5,1.5,0.2,ASD
29,5.2,3.4,1.4,0.2,ASD
30,4.7,3.2,1.6,0.2,ASD
31,4.8,3.1,1.6,0.2,ASD
32,5.4,3.4,1.5,0.4,ASD
33,5.2,4.1,1.5,0.1,ASD
34,5.5,4.2,1.4,0.2,ASD
35,4.9,3.1,1.5,0.1,ASD
36,5,3.2,1.2,0.2,ASD
37,5.5,3.5,1.3,0.2,ASD
38,4.9,3.1,1.5,0.1,ASD
39,4.4,3,1.3,0.2,ASD
40,5.1,3.4,1.5,0.2,ASD
41,5,3.5,1.3,0.3,ASD
42,4.5,2.3,1.3,0.3,ASD
43,4.4,3.2,1.3,0.2,ASD
44,5,3.5,1.6,0.6,ASD
45,5.1,3.8,1.9,0.4,ASD
46,4.8,3,1.4,0.3,ASD
47,5.1,3.8,1.6,0.2,ASD
48,4.6,3.2,1.4,0.2,ASD
49,5.3,3.7,1.5,0.2,ASD
50,5,3.3,1.4,0.2,ASD
101,6.3,3.3,6,2.5,TD
102,5.8,2.7,5.1,1.9,TD
103,7.1,3,5.9,2.1,TD
104,6.3,2.9,5.6,1.8,TD
105,6.5,3,5.8,2.2,TD
106,7.6,3,6.6,2.1,TD
107,4.9,2.5,4.5,1.7,TD
108,7.3,2.9,6.3,1.8,TD
109,6.7,2.5,5.8,1.8,TD
110,7.2,3.6,6.1,2.5,TD
111,6.5,3.2,5.1,2,TD
112,6.4,2.7,5.3,1.9,TD
113,6.8,3,5.5,2.1,TD
114,5.7,2.5,5,2,TD
115,5.8,2.8,5.1,2.4,TD
116,6.4,3.2,5.3,2.3,TD
117,6.5,3,5.5,1.8,TD
118,7.7,3.8,6.7,2.2,TD
119,7.7,2.6,6.9,2.3,TD
120,6,2.2,5,1.5,TD
121,6.9,3.2,5.7,2.3,TD
122,5.6,2.8,4.9,2,TD
123,7.7,2.8,6.7,2,TD
124,6.3,2.7,4.9,1.8,TD
125,6.7,3.3,5.7,2.1,TD
126,7.2,3.2,6,1.8,TD
127,6.2,2.8,4.8,1.8,TD
128,6.1,3,4.9,1.8,TD
129,6.4,2.8,5.6,2.1,TD
130,7.2,3,5.8,1.6,TD
131,7.4,2.8,6.1,1.9,TD
132,7.9,3.8,6.4,2,TD
133,6.4,2.8,5.6,2.2,TD
134,6.3,2.8,5.1,1.5,TD
135,6.1,2.6,5.6,1.4,TD
136,7.7,3,6.1,2.3,TD
137,6.3,3.4,5.6,2.4,TD
138,6.4,3.1,5.5,1.8,TD
139,6,3,4.8,1.8,TD
140,6.9,3.1,5.4,2.1,TD
141,6.7,3.1,5.6,2.4,TD
142,6.9,3.1,5.1,2.3,TD
143,5.8,2.7,5.1,1.9,TD
144,6.8,3.2,5.9,2.3,TD
145,6.7,3.3,5.7,2.5,TD
146,6.7,3,5.2,2.3,TD
147,6.3,2.5,5,1.9,TD
148,6.5,3,5.2,2,TD
149,6.2,3.4,5.4,2.3,TD
150,5.9,3,5.1,1.8,TD
